clinic_name,email,location,job_url,sent_date,thread_id,followup_sent,reply,outcome
Sensu Dental,smiles@sensu.co.uk,London,https://www.glassdoor.co.uk/Job/london-dental-receptionist,2026-06-22,r763218952654187373,,,draft-ready
Blue Sky Dental & Implant Clinic,info@blueskydentist.com,Belfast,https://www.bdjjobs.com/jobs/receptionists,2026-06-22,r8089267731483763999,,,draft-ready
Queensway Dental Clinic,reception@queensway.co.uk,Billingham,https://www.queensway.co.uk/about-us/blog,2026-06-22,r5830427542883252333,,,draft-ready
Aesthetique Dental Care,info@smileclinicleeds.com,Leeds,,2026-06-22,r7747948550797312236,,,draft-ready
Dentozen Leeds,info@dentozenclinics.co.uk,Leeds,,2026-06-22,r-6153638170848234573,,,draft-ready
Pond Square Dental,info@pondsquaredental.co.uk,London,,2026-06-22,r-2191711002742822761,,,draft-ready
Dental Touch Bristol,info@dental-touch.co.uk,Bristol,,2026-06-22,r-6011801501888096835,,,draft-ready
Edinburgh Dental Studio,info@edinburghdentalstudio.co.uk,Edinburgh,,2026-06-22,r2193847632988585153,,,excluded-scotland
Inspire Dental Walthamstow,info@inspiredentalwalthamstow.co.uk,London,,2026-06-22,r-5651699107722240763,,,draft-ready
Meliora Dental,reception@melioradental.co.uk,Leeds,https://www.melioradental.co.uk/contact-us,2026-06-24,r4049835218840979124,,,draft-ready
Green Apple Dental,dental@greenappledental.co.uk,Oakham,https://www.bdjjobs.com/job/857332/dental-receptionist/,2026-06-24,r-7373054642453639589,,,draft-ready
One Dental Peterborough,hello@one-dental.co.uk,Peterborough,https://www.one-dental.co.uk/,2026-06-24,r-6920330965175835231,,,draft-ready
Stanley Dental Practice,reception@stanleypractice.co.uk,Kidderminster,https://www.stanleypractice.co.uk/,2026-06-24,r-1288579508679231899,,,draft-ready
LS1 Dental,info@ls1dental.co.uk,Leeds,https://ls1dental.co.uk/,2026-06-24,r-2394909022626734439,,,draft-ready
Leeds City Dentalcare,info@leedscitydentalcare.co.uk,Leeds,https://www.leedscitydentalcare.co.uk/,2026-06-24,r240693387623927405,,,draft-ready
